Time,Flux,Flux err
2459065.0289481105,6278.8267,10.870028
2459065.030336997,6265.398,10.875213
2459065.031725884,6295.626,10.880109
2459065.0331147704,6289.2007,10.878924
2459065.0345036574,6270.591,10.87119
2459065.035892544,6274.4424,10.861695
2459065.037281431,6283.981,10.872876
2459065.0386703177,6288.075,10.875383
2459065.040059204,6297.9272,10.884878
2459065.041448091,6268.3022,10.868432
2459065.0428369776,6301.1094,10.88219
2459065.0442258646,6280.401,10.87499
2459065.0456147515,6253.368,10.866302
2459065.047003638,6294.5713,10.884158
2459065.048392525,6280.5273,10.8732195
2459065.0497814114,6295.9136,10.882697
2459065.051170298,6275.3135,10.87004
2459065.052559185,6299.2773,10.88415
2459065.053948072,6294.8286,10.887061
2459065.0553369583,6291.2144,10.883831
2459065.056725845,6278.963,10.873493
2459065.0581147317,6297.547,10.873882
2459065.0595036186,6283.9395,10.870191
2459065.0608925056,6283.762,10.873668
2459065.062281392,6298.7446,10.888939
2459065.0636702785,6285.4126,10.885209
2459065.0650591655,6288.4307,10.8701515
2459065.066448052,6268.338,10.88041
2459065.067836939,6285.175,10.874201
2459065.0692258254,6302.63,10.888156
2459065.0706147123,6287.337,10.8727045
2459065.072003599,6290.5093,10.875075
2459065.0733924857,6283.579,10.872809
2459065.074781372,6283.9043,10.878872
2459065.076170259,6270.6343,10.872447
2459065.0775591456,6274.5415,10.869936
2459065.0789480326,6273.257,10.875866
2459065.080336919,6284.6597,10.875698
2459065.0817258055,6277.1675,10.87169
2459065.0831146925,6287.118,10.8795395
2459065.0845035794,6290.842,10.880363
2459065.085892466,6294.203,10.888014
2459065.0872813524,6281.219,10.877751
2459065.0886702393,6288.6914,10.880438
2459065.090059126,6283.034,10.875721
2459065.0914480127,6265.4775,10.869851
2459065.092836899,6298.394,10.877601
2459065.094225786,6281.973,10.873473
2459065.0956146726,6293.8086,10.868659
2459065.0970035596,6274.8955,10.873636
2459065.098392446,6279.123,10.876664
2459065.0997813325,6295.5103,10.882166
2459065.1011702195,6268.951,10.874352
2459065.102559106,6274.6904,10.870765
2459065.1039479924,6286.9023,10.876653
2459065.1053368794,6281.3906,10.87018
2459065.1067257663,6310.9,10.8848095
2459065.108114653,6285.485,10.876082
2459065.1095035393,6279.215,10.870946
2459065.110892426,6262.552,10.865381
2459065.1122813127,6283.4346,10.875121
2459065.113670199,6273.5815,10.877636
2459065.115059086,6265.6553,10.859955
2459065.1164479726,6279.1987,10.872066
2459065.117836859,6280.0366,10.872602
2459065.119225746,6280.867,10.872716
2459065.1206146325,6282.6533,10.873572
2459065.1220035194,6277.586,10.869976
2459065.123392406,6277.276,10.868917
2459065.1247812924,6282.6973,10.868432
2459065.1261701793,6282.9106,10.888053
2459065.127559066,6291.58,10.876536
2459065.1289479523,6284.3677,10.867766
2459065.130336839,6294.3584,10.881419
2459065.1317257257,6283.841,10.869557
2459065.133114612,6263.888,10.873354
2459065.1345034987,6289.309,10.882823
2459065.1358923856,6288.8286,10.877002
2459065.137281272,6289.108,10.883816
2459065.1386701586,6288.351,10.877565
2459065.1400590455,6287.003,10.872398
2459065.141447932,6271.8574,10.865057
2459065.1428368185,6286.1104,10.875891
2459065.144225705,6282.5093,10.867799
2459065.145614592,6270.279,10.865739
2459065.1470034784,6307.8184,10.886573
2459065.148392365,6315.1885,10.895298
2459065.149781252,6293.8257,10.873379
2459065.1511701383,6292.612,10.876588
2459065.1525590247,6292.06,10.891825
2459065.153947911,6286.8115,10.874675
2459065.155336798,6300.4033,10.880145
2459065.1567256846,6285.5273,10.874738
2459065.1581145716,6299.2666,10.885561
2459065.1595034576,6277.3115,10.87385
2459065.1608923445,6289.701,10.872808
2459065.162281231,6282.801,10.876595
2459065.163670118,6272.3384,10.868657
2459065.165059004,6294.6016,10.875469
2459065.166447891,6287.1973,10.882949
2459065.1678367774,6300.5986,10.88319
2459065.169225664,6275.392,10.868668
2459065.1706145504,6293.4863,10.888853
2459065.1720034373,6269.641,10.872176
2459065.173392324,6273.413,10.864859
2459065.1747812103,6270.549,10.871728
2459065.1761700967,6278.713,10.876225
2459065.1775589837,6296.627,10.8746395
2459065.17894787,6279.051,10.877536
2459065.1803367566,6279.365,10.869505
2459065.181725643,6286.6245,10.8813305
2459065.1831145296,6276.129,10.86946
2459065.184503416,6285.229,10.873717
2459065.185892303,6271.135,10.8708315
2459065.1872811895,6280.486,10.871605
2459065.188670076,6286.068,10.871564
2459065.1900589624,6276.7354,10.872639
2459065.191447849,6267.0073,10.870921
2459065.192836736,6279.794,10.871521
2459065.1942256223,6280.4937,10.872347
2459065.195614509,6276.6636,10.872306
2459065.1970033953,6267.3696,10.866832
2459065.198392282,6293.827,10.879292
2459065.1997811683,6263.756,10.863436
2459065.2011700547,6279.6396,10.88449
2459065.2025589417,6281.9873,10.874261
2459065.203947828,6291.5674,10.881203
2459065.2053367146,6271.6025,10.879158
2459065.206725601,6294.2144,10.8808155
2459065.2081144876,6280.9805,10.879166
2459065.209503374,6287.4785,10.875927
2459065.2108922605,6266.857,10.865761
2459065.212281147,6269.797,10.865665
2459065.213670034,6273.2407,10.871772
2459065.21505892,6255.196,10.882591
2459065.216447807,6276.799,10.870134
2459065.2178366934,6281.455,10.870435
2459065.21922558,6287.908,10.886017
2459065.2206144664,6295.5083,10.880294
2459065.222003353,6268.4653,10.873264
2459065.2233922393,6281.5454,10.865842
2459065.224781126,6295.65,10.873192
2459065.2261700123,6257.4155,10.862204
2459065.2275588987,6299.6562,10.878473
2459065.2289477857,6281.348,10.873032
2459065.230336672,6280.605,10.881238
2459065.231725558,6322.152,10.892298
2459065.233114445,6282.1846,10.871702
2459065.2345033316,6291.116,10.880095
2459065.2358922176,6305.351,10.885738
2459065.2372811045,6268.4165,10.870214
2459065.238669991,6276.026,10.872421
2459065.2400588775,6278.494,10.873719
2459065.241447764,6288.9824,10.88168
2459065.2428366505,6296.2437,10.881965
2459065.244225537,6283.3496,10.874684
2459065.2456144234,6283.595,10.8862505
2459065.24700331,6285.591,10.878798
2459065.2483921964,6283.9688,10.869755
2459065.249781083,6283.556,10.883117
2459065.2511699693,6286.246,10.882924
2459065.252558856,6288.6772,10.877329
2459065.2539477423,6289.914,10.876061
2459065.2553366288,6276.91,10.876979
2459065.2567255152,6277.755,10.869424
2459065.2581144017,6297.9653,10.881579
2459065.259503288,6289.976,10.885867
2459065.2608921747,6279.3765,10.871388
2459065.262281061,6275.943,10.864036
2459065.2636699476,6303.226,10.889116
2459065.265058834,6272.9937,10.869308
2459065.2664477206,6273.136,10.864702
2459065.267836607,6265.756,10.867402
2459065.2692254935,6281.9595,10.881451
2459065.27061438,6261.034,10.869409
2459065.272003266,6289.069,10.87516
2459065.273392153,6278.133,10.86828
2459065.2747810395,6274.5483,10.865866
2459065.276169926,6285.0674,10.875744
2459065.277558812,6288.0806,10.875083
2459065.2789476984,6293.662,10.875917
2459065.280336585,6284.908,10.88285
2459065.2817254714,6285.785,10.879894
2459065.283114358,6284.348,10.881045
2459065.2845032443,6282.479,10.869687
2459065.285892131,6293.205,10.875034
2459065.2872810173,6272.1763,10.876118
2459065.2886699038,6269.391,10.871657
2459065.2900587902,6294.38,10.877606
2459065.2914476767,6291.9365,10.875146
2459065.2928365627,6271.359,10.880495
2459065.294225449,6289.4326,10.885302
2459065.2956143357,6272.413,10.874636
2459065.297003222,6281.571,10.8749275
2459065.2983921086,6284.876,10.874517
2459065.299780995,6269.4946,10.867783
2459065.3011698816,6276.873,10.869454
2459065.3025587676,6285.3057,10.8828125
2459065.303947654,6279.795,10.872848
2459065.3053365406,6302.5674,10.889838
2459065.306725427,6304.009,10.890079
2459065.3081143135,6270.203,10.872109
2459065.3095032,6291.9814,10.89275
2459065.3108920865,6280.6333,10.874392
2459065.312280973,6276.869,10.872667
2459065.313669859,6284.5728,10.876379
2459065.3150587454,6266.4746,10.872276
2459065.316447632,6280.425,10.874779
2459065.3178365184,6283.6787,10.880598
2459065.319225405,6268.5874,10.872343
2459065.3206142914,6288.744,10.8839655
2459065.322003178,6275.2505,10.8762865
2459065.323392064,6259.563,10.872736
2459065.3247809503,6288.2275,10.878676
2459065.326169837,6266.886,10.866998
2459065.3275587233,6285.612,10.877372
2459065.3289476093,6277.266,10.877207
2459065.330336496,6288.264,10.887934
2459065.3317253822,6307.9243,10.882194
2459065.3331142687,6287.3164,10.880632
2459065.334503155,6296.816,10.879458
2459065.335892041,6283.654,10.869338
2459065.3372809277,6288.189,10.877945
2459065.338669814,6288.114,10.883717
2459065.3400587006,6271.211,10.866638
2459065.341447587,6273.018,10.864255
2459065.342836473,6292.4478,10.872787
2459065.3442253596,6285.42,10.876899
2459065.345614246,6279.109,10.884725
2459065.3483920186,6279.615,10.874451
2459065.349780905,6284.4756,10.876465
2459065.3511697915,6279.561,10.869899
2459065.352558678,6292.042,10.877347
2459065.353947564,6284.1416,10.87545
2459065.3553364505,6292.91,10.890099
2459065.356725337,6296.255,10.885954
2459065.3581142235,6297.926,10.881579
2459065.3595031095,6272.5728,10.867844
2459065.360891996,6285.991,10.872787
2459065.3622808824,6283.7344,10.869868
2459065.3636697684,6277.0957,10.870647
2459065.365058655,6287.2383,10.891619
2459065.3664475414,6294.9526,10.880314
2459065.3678364274,6272.2144,10.876871
2459065.369225314,6275.2144,10.872261
2459065.3706142004,6274.676,10.87085
2459065.3720030864,6291.511,10.882786
2459065.373391973,6267.652,10.881313
2459065.3747808593,6283.126,10.885416
2459065.3761697453,6304.215,10.88314
2459065.377558632,6280.2275,10.881802
2459065.3789475183,6281.836,10.875224
2459065.3803364043,6292.017,10.885507
2459065.381725291,6271.647,10.871205
2459065.3831141773,6266.036,10.866402
2459065.3845030633,6287.742,10.884235
2459065.3858919498,6281.628,10.875797
2459065.3872808362,6291.92,10.881409
2459065.3886697227,6268.9517,10.868043
2459065.3900586087,6299.6606,10.878473
2459065.391447495,6266.177,10.875928
2459065.392836381,6292.134,10.878355
2459065.3942252677,6284.7124,10.876965
2459065.3956141537,6271.336,10.872122
2459065.39700304,6285.291,10.880646
2459065.3983919267,6291.5146,10.879663
2459065.3997808127,6277.243,10.874659
2459065.401169699,6276.1826,10.875013
2459065.4025585856,6272.717,10.870812
2459065.4039474716,6289.703,10.879708
2459065.405336358,6269.7246,10.868551
2459065.406725244,6295.7026,10.875599
2459065.4081141306,6297.1133,10.885383
2459065.409503017,6282.119,10.878934
2459065.410891903,6280.2324,10.872924
2459065.4122807896,6290.5723,10.892339
2459065.4136696756,6286.0327,10.880503
2459065.415058562,6279.466,10.877627
2459065.416447448,6274.4478,10.871536
2459065.4178363346,6283.083,10.878771
2459065.419225221,6275.8564,10.868835
2459065.420614107,6288.38,10.873092
2459065.4220029935,6272.0083,10.877362
2459065.4233918795,6291.2847,10.8796425
2459065.424780766,6276.695,10.871687
2459065.426169652,6283.0386,10.870093
2459065.4275585385,6284.7524,10.883236
2459065.4289474245,6274.1953,10.869262
